,conc_ratio,bed_volumes_treated
0,0.01,16485.085166993846
1,0.0341025641025641,26879.21462357539
2,0.0582051282051282,32080.50995812263
3,0.08230769230769229,35812.752403859005
4,0.10641025641025639,38840.88073682321
5,0.1305128205128205,41461.61495076083
6,0.1546153846153846,43823.40129124186
7,0.17871794871794872,46012.386461753566
8,0.2028205128205128,48083.916570987916
9,0.2269230769230769,50076.41727667142
10,0.251025641025641,52018.32919164395
11,0.2751282051282051,53931.91585442613
12,0.2992307692307692,55835.518356174325
13,0.3233333333333333,57744.980950902245
14,0.3474358974358974,59674.61022849618
15,0.3715384615384615,61637.86279544461
16,0.3956410256410256,63647.8732919419
17,0.4197435897435897,65717.89125492363
18,0.4438461538461538,67861.67208935172
19,0.4679487179487179,70093.85500071633
20,0.492051282051282,72430.35467528357
21,0.5161538461538461,74888.79157854167
22,0.5402564102564102,77488.98700900035
23,0.5643589743589743,80253.55327748277
24,0.5884615384615384,83208.61694242859
25,0.6125641025641025,86384.72486832488
26,0.6366666666666666,89818.00069215393
27,0.6607692307692307,93551.64590697542
28,0.6848717948717948,97637.91981689117
29,0.7089743589743589,102140.79368378554
30,0.733076923076923,107139.56922217213
31,0.7571794871794871,112733.90210359654
32,0.7812820512820512,119050.91598373489
33,0.8053846153846153,126255.5022639536
34,0.8294871794871794,134565.60851935655
35,0.8535897435897435,144275.58622647685
36,0.8776923076923075,155793.03579184323
37,0.9017948717948717,169699.2267912694
38,0.9258974358974358,186852.79701385263
39,0.95,208577.805063145
